Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Net Job Change,Percent Job Change,AI Impact Score,Career Stability Index,Median Salary Norm,High-Opportunity Career Score
Investment Analyst,It,Increasing,Moderate,42109.76,Master’S Degree,5,1515,6342,55.96,28.28,Uk,44.63,4827,318.61,2,228.51,0.1,1.52
"Journalist, Newspaper",Manufacturing,Increasing,Moderate,132298.57,Master’S Degree,15,1243,6205,16.81,89.71,Usa,66.39,4962,399.2,2,41.08,0.85,1.88
Financial Planner,Finance,Increasing,Low,143279.19,Bachelor’S Degree,4,3338,1154,91.82,72.97,Canada,41.13,-2184,-65.43,1,-17.69,0.94,0.1
Legal Secretary,Healthcare,Increasing,High,97576.13,Associate Degree,15,7173,4060,1.89,99.94,Australia,65.76,-3113,-43.4,3,-0.03,0.56,-0.0
Aeronautical Engineer,It,Increasing,Low,60956.63,Master’S Degree,13,5944,7396,53.76,37.65,Germany,72.57,1452,24.43,1,15.23,0.26,0.36
Legal Secretary,Education,Decreasing,Low,39123.32,Master’S Degree,20,6985,7832,77.5,28.99,Usa,46.91,847,12.13,1,8.61,0.08,0.28
"Surveyor, Insurance",Manufacturing,Decreasing,High,147150.03,High School,7,9738,4360,30.51,7.08,Uk,20.14,-5378,-55.23,3,-51.32,0.98,0.35
Dentist,Entertainment,Decreasing,High,64245.48,Associate Degree,0,1393,8206,9.74,2.49,Canada,59.27,6813,489.09,3,476.91,0.29,2.33
Emergency Planning/Management Officer,Education,Increasing,High,72488.15,High School,12,7729,4452,38.77,99.56,Australia,60.56,-3277,-42.4,3,-0.19,0.35,-0.06
Visual Merchandiser,Manufacturing,Decreasing,Moderate,95840.3,Associate Degree,16,1127,2375,4.29,69.03,China,48.19,1248,110.74,2,34.3,0.55,0.7
Emergency Planning/Management Officer,Manufacturing,Increasing,Moderate,97133.62,Bachelor’S Degree,17,4627,1684,89.49,43.94,China,34.83,-2943,-63.6,2,-35.66,0.56,0.08
Housing Manager/Officer,Entertainment,Decreasing,High,114672.3,High School,12,2800,7964,94.02,20.19,Uk,31.9,5164,184.43,3,147.19,0.71,1.19
"Geologist, Wellsite",Entertainment,Increasing,Moderate,116427.68,Phd,7,1852,3700,32.89,5.54,Australia,56.02,1848,99.78,2,94.26,0.72,0.9
"Runner, Broadcasting/Film/Video",Healthcare,Decreasing,Moderate,43059.04,Phd,2,1824,7625,55.6,13.12,Australia,27.5,5801,318.04,2,276.31,0.11,1.57
Press Photographer,Entertainment,Decreasing,Moderate,137894.14,Master’S Degree,3,8312,9700,59.95,95.76,India,56.06,1388,16.7,2,0.71,0.9,0.35
"Biochemist, Clinical",Entertainment,Increasing,Moderate,67908.84,Master’S Degree,2,1872,5314,93.9,3.19,China,74.67,3442,183.87,2,178.0,0.32,1.12
Town Planner,Retail,Decreasing,High,107318.63,Associate Degree,11,7251,1090,15.25,55.15,Uk,23.99,-6161,-84.97,3,-38.11,0.64,-0.01
"Engineer, Civil (Consulting)",Healthcare,Decreasing,Moderate,101322.09,Associate Degree,17,1044,8832,12.92,64.18,India,56.12,7788,745.98,2,267.21,0.59,3.27
Audiological Scientist,Transportation,Increasing,Low,109546.76,Master’S Degree,8,5379,8913,82.13,80.62,Uk,38.87,3534,65.7,1,12.73,0.66,0.52
"Clinical Scientist, Histocompatibility And Immunogenetics",Manufacturing,Decreasing,High,142660.31,Master’S Degree,2,2377,7307,4.29,16.88,India,56.57,4930,207.4,3,172.39,0.94,1.36
Music Therapist,Education,Increasing,High,122569.29,High School,4,2661,5588,88.17,26.8,India,34.19,2927,110.0,3,80.52,0.77,0.89
Advertising Copywriter,Retail,Decreasing,High,122668.89,Bachelor’S Degree,14,7291,7469,65.94,7.14,Brazil,74.45,178,2.44,3,2.27,0.77,0.52
Commercial Horticulturist,Education,Decreasing,Low,60874.45,Associate Degree,14,5892,369,43.78,95.96,Uk,56.8,-5523,-93.74,1,-3.79,0.26,-0.29
Secondary School Teacher,Finance,Increasing,Moderate,49705.11,Phd,4,5398,3531,20.77,60.11,Germany,49.88,-1867,-34.59,2,-13.8,0.16,0.03
